,Keys,Keys Embedding,Values
424,Christine_contact,"[-0.00152471  0.04526785 -0.01462359 ... -0.00328432  0.03534876
 -0.00016666]",(574)269-1486x3628
425,Christine_appointment_time,"[-0.04088166  0.01967118 -0.01168025 ...  0.01841571  0.02357672
  0.00878912]",18:37
426,Megan_doctor,"[-0.03866516  0.01376899 -0.0124904  ... -0.01705915  0.0139442
 -0.01048116]",Dr. Moore
427,Megan_appointment_date,"[-0.07208969  0.00937401 -0.0074654  ...  0.01406223  0.02616682
  0.01392567]",2026-04-23
428,Megan_checkup_department,"[-0.06298279 -0.04188427 -0.01205927 ...  0.0109645   0.01916808
  0.00212772]",Pediatrics
429,Megan_hospital_location,"[-0.05542831 -0.00198482 -0.0105234  ... -0.01326553  0.02004988
  0.00496933]",City Hospital
430,Megan_contact,"[-0.06068744 -0.00909007 -0.01271493 ... -0.01624345  0.03902109
  0.00335652]",+1-740-299-3779x064
431,Megan_appointment_time,"[-0.07508302 -0.01287854 -0.00934748 ...  0.01111966  0.02190428
  0.01141695]",05:24
432,Jared_doctor,"[ 0.03187926 -0.00500961 -0.01413532 ... -0.04474124 -0.00334224
  0.00785088]",Dr. Thomas
433,Jared_appointment_date,"[-0.01466588  0.0040807  -0.00951461 ... -0.00056061  0.01008721
  0.02873319]",2026-03-26
434,Jared_checkup_department,"[ 0.02681085 -0.05746883 -0.01343349 ... -0.00742306 -0.01388454
  0.01651089]",Radiology
435,Jared_hospital_location,"[ 0.02307282  0.004232   -0.01170707 ... -0.03254611 -0.00771586
  0.02461024]",Patan Hospital
436,Jared_contact,"[ 0.02194182 -0.02758338 -0.01359881 ... -0.04169613  0.01015804
  0.02450807]",(813)351-3378x90757
437,Jared_appointment_time,"[-0.02022207 -0.01589427 -0.01116051 ... -0.00645759  0.00574077
  0.02586678]",17:21
438,Ricky_doctor,"[-0.0022875   0.02378307 -0.0148462  ... -0.01532385  0.02048978
 -0.03145544]",Dr. Moore
439,Ricky_appointment_date,"[-0.03915111  0.02482316 -0.01024189 ...  0.02110775  0.04598369
 -0.01028749]",2026-04-20
440,Ricky_checkup_department,"[-0.02161956 -0.01093106 -0.01383143 ...  0.02189813  0.04142885
 -0.02780047]",Pediatrics
441,Ricky_hospital_location,"[-0.00753828  0.03938477 -0.01256149 ...  0.01047956  0.04085042
 -0.02306405]",City Hospital
442,Ricky_contact,"[-0.02242939  0.00235164 -0.01500607 ...  0.00034028  0.06715631
 -0.02920481]",(959)284-1099
443,Ricky_appointment_time,"[-0.04429816  0.00448785 -0.01167453 ...  0.019984    0.04120637
 -0.01263671]",21:26
444,Tyler_doctor,"[ 0.01475535  0.00422008 -0.01492237 ... -0.01385616  0.02637571
 -0.003795  ]",Dr. Brown
445,Tyler_appointment_date,"[-0.03014829  0.0207936  -0.00915627 ...  0.02522754  0.02957565
  0.01370765]",2026-03-26
446,Tyler_checkup_department,"[-0.01453221 -0.03136192 -0.01140896 ...  0.02277944  0.01632088
 -0.0072422 ]",Neurology
447,Tyler_hospital_location,"[ 0.02224867  0.02704052 -0.01311681 ... -0.00235602  0.01038277
 -0.00798154]",Mountain View Hospital
448,Tyler_contact,"[ 0.01063166 -0.02527256 -0.01389388 ...  0.00732938  0.02271166
 -0.01313032]",938-908-4238
449,Tyler_appointment_time,"[-0.02962811  0.00215831 -0.01009056 ...  0.02084644  0.02061814
  0.01177008]",21:14
450,Tiffany_doctor,"[ 0.01899423  0.03409065 -0.01313768 ... -0.0059147   0.00980066
 -0.01275678]",Dr. Roshan
451,Tiffany_appointment_date,"[-0.03788229  0.02680842 -0.00768785 ...  0.03001049  0.03007171
  0.01841877]",2025-10-04
452,Tiffany_checkup_department,"[-0.0054698  -0.00498651 -0.01170382 ...  0.0284708   0.01584089
 -0.00332621]",Cardiology
453,Tiffany_hospital_location,"[ 0.01156022  0.02321611 -0.01068353 ...  0.0122486   0.00396324
  0.00209127]",Sunshine Medical Center
454,Tiffany_contact,"[ 0.00144566  0.0102262  -0.01350023 ...  0.00347216  0.03070477
  0.0078466 ]",(662)252-1350x2005
455,Tiffany_appointment_time,"[-0.0383246   0.00917972 -0.0095972  ...  0.02415575  0.01769028
  0.00896563]",07:28
456,Robert_doctor,"[ 0.01369152 -0.01780924 -0.01372673 ... -0.02350437  0.01327387
 -0.01611537]",Dr. Johnson
457,Robert_appointment_date,"[-0.02798104 -0.01344431 -0.0106937  ...  0.00661627  0.01679278
 -0.00725886]",2026-01-06
458,Robert_checkup_department,"[-0.02609695 -0.03975031 -0.01365109 ...  0.01767238  0.02307327
 -0.01582693]",Dermatology
459,Robert_hospital_location,"[-0.00232514  0.00536963 -0.01212492 ... -0.00091631  0.01555903
 -0.02506782]",Patan Hospital
460,Robert_contact,"[-0.00835197 -0.01329952 -0.0139021  ... -0.0088655   0.02776759
 -0.00954654]",+1-887-815-3556
461,Robert_appointment_time,"[-0.03429653 -0.02988921 -0.01135437 ...  0.00824297  0.01584083
 -0.01022117]",15:21
462,Melissa_doctor,"[-0.00010874  0.03222295 -0.01279583 ... -0.00671596  0.00911872
 -0.01784659]",Dr. Brown
463,Melissa_appointment_date,"[-0.05951003  0.01956565 -0.0078865  ...  0.02379334  0.02168128
  0.00992597]",2025-12-18
464,Melissa_checkup_department,"[-3.5417013e-02 -2.1191193e-03 -1.2059437e-02 ...  2.7439732e-02
  6.3147508e-03 -1.1979150e-05]",Orthopedics
465,Melissa_hospital_location,"[-0.01884273  0.02563056 -0.01079815 ... -0.00311227  0.01499273
 -0.00558437]",City Hospital
466,Melissa_contact,"[-0.02200939  0.00989949 -0.01301189 ...  0.00567189  0.03043646
 -0.00844031]",7195483161
467,Melissa_appointment_time,"[-0.06094654  0.00247197 -0.00975771 ...  0.02111805  0.01649719
  0.00902249]",22:53
468,Yvette_doctor,"[ 0.0332538   0.04380508 -0.01409663 ... -0.01257093  0.00553708
  0.0007959 ]",Dr. Moore
469,Yvette_appointment_date,"[-0.02632734  0.02832568 -0.00960721 ...  0.01702446  0.02124743
  0.02100016]",2026-02-06
470,Yvette_checkup_department,"[ 0.00332377 -0.00381438 -0.01334039 ...  0.02132422  0.00318992
  0.00918097]",Cardiology
471,Yvette_hospital_location,"[ 0.02043162  0.04609463 -0.01265985 ... -0.00086371  0.00610691
  0.01368335]",Patan Hospital
472,Yvette_contact,"[ 0.01685668  0.03271315 -0.01443719 ... -0.00166157  0.02452623
  0.01762599]",001-250-268-7144x3131
473,Yvette_appointment_time,"[-0.02851545  0.01546634 -0.01124592 ...  0.01677624  0.01221564
  0.01345983]",03:24
474,Ashley_doctor,"[ 0.00464408  0.02145088 -0.01412424 ... -0.00431448  0.01145871
 -0.00626525]",Dr. Johnson
475,Ashley_appointment_date,"[-0.03069819  0.01925882 -0.00849858 ...  0.03103222  0.03659927
  0.01665699]",2025-11-05
476,Ashley_checkup_department,"[-0.0210533  -0.00544898 -0.01361803 ...  0.02879158  0.02246202
  0.00597427]",Dermatology
477,Ashley_hospital_location,"[ 0.00060829  0.02768833 -0.0129136  ...  0.01136465  0.02620141
  0.00465478]",Sunshine Medical Center
478,Ashley_contact,"[-0.00392471  0.01650652 -0.0152532  ...  0.00472807  0.04912288
  0.0031074 ]",333-711-7871x2160
479,Ashley_appointment_time,"[-0.03555356  0.00042736 -0.01018002 ...  0.02787172  0.02901057
  0.01188517]",07:37
480,Adam_doctor,"[ 0.00745561 -0.00746035 -0.01414231 ... -0.00653698 -0.00368369
  0.0155928 ]",Dr. Thomas
481,Adam_appointment_date,"[-0.04435904  0.00775101 -0.00863115 ...  0.01807623  0.02099626
  0.02893918]",2026-04-06
482,Adam_checkup_department,"[-0.01922913 -0.0354968  -0.01269098 ...  0.01418664  0.00719649
  0.00870266]",Pediatrics
483,Adam_hospital_location,"[ 0.00191251  0.00690455 -0.01281185 ...  0.01311547 -0.00178634
  0.02703938]",Sunshine Medical Center
484,Adam_contact,"[ 0.01321346 -0.00561537 -0.01459116 ... -0.01178996 -0.01379503
  0.02788549]",(207)282-7152x7818
485,Adam_appointment_time,"[-0.04499257 -0.00975083 -0.01050164 ...  0.01218721  0.01520846
  0.02800906]",11:58
486,Gail_doctor,"[-0.01456344  0.01380338 -0.01363603 ...  0.01116435  0.00039287
 -0.00264355]",Dr. Wilson
487,Gail_appointment_date,"[-0.05463897  0.01538247 -0.00891505 ...  0.03338566  0.02138644
  0.01518589]",2025-12-08
488,Gail_checkup_department,"[-0.02775662 -0.03579365 -0.0130474  ...  0.039512   -0.00275358
 -0.0014963 ]",Radiology
489,Gail_hospital_location,"[-0.02642995  0.01998669 -0.01196705 ...  0.02504906  0.01191487
  0.00620953]",Mountain View Hospital
490,Gail_contact,"[-0.03208048  0.00833098 -0.01358064 ...  0.02445286  0.02372951
  0.00568117]",+1-879-447-7114x0230
491,Gail_appointment_time,"[-0.05974367 -0.00564713 -0.01037159 ...  0.02559246  0.01626215
  0.01088527]",11:18
